feature,importance
m_activity_m_activity_min_roll7_mean_1dedf469,8.0
m_ac_m_charging_by_time_sum_night_2ff39ad5,8.0
m_ac_m_charging_by_time_mean_evening_733a593c,8.0
m_ble_m_ble_row_rssi_mean_max_lag1_2ec5b9d6,8.0
m_ble_m_ble_row_rssi_std_mean_lag1_18d241ba,8.0
m_ble_m_ble_row_rssi_std_max_lag1_6a9c5015,8.0
m_gps_m_gps_row_longitude_sum_sum_2e18b164,8.0
m_light_m_light_median_roll3_mean_38e39389,8.0
m_gps_m_gps_row_longitude_mean_std_roll7_mean_8354a8d0,8.0
m_ambience_ambience_top_prob_mean_roll3_mean_2c717d53,8.0
m_gps_m_gps_row_latitude_max_std_roll7_mean_3faac426,8.0
m_light_m_light_by_time_mean_afternoon_9a872ce1,8.0
m_gps_m_gps_row_longitude_std_min_roll7_mean_d7a66f86,8.0
m_ambience_ambience_entropy_max_roll3_mean_13ca82a8,8.0
m_ambience_ambience_prob_sum_max_roll3_mean_53de1ece,7.0
m_wifi_m_wifi_row_rssi_std_std_roll7_mean_c83e55c6,7.0
m_wifi_m_wifi_row_rssi_std_min_roll7_mean_dce68606,7.0
m_wifi_m_wifi_row_rssi_max_min_roll7_mean_9f7e121b,7.0
m_ambience_ambience_entropy_max_lag1_53c1506e,7.0
m_usage_app_time_youtube_8dd1bae8_roll3_mean_d7ced601,7.0
m_ac_m_charging_by_time_mean_afternoon_roll3_mean_acff5e3f,7.0
m_activity_m_activity_count_f_0_cfcd2084_lag1_dfc92ce1,7.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll7_mean_5b0e498d,7.0
m_ambience_ambience_n_sum_roll3_mean_f43ca366,7.0
m_activity_m_activity_by_time_sum_evening_roll7_mean_2eccf658,7.0
w_pedo_burned_calories_sum_6c4ba887,7.0
m_wifi_m_wifi_row_rssi_sum_sum_76aa122d,7.0
m_wifi_m_wifi_row_rssi_max_std_roll3_mean_7556b78b,7.0
m_ambience_ambience_prob_sum_sum_roll3_mean_4de39adb,7.0
m_activity_m_activity_ratio_f_3_eccbc87e_roll7_mean_9222ea21,7.0
m_wifi_m_wifi_row_rssi_max_min_bf10b832,7.0
w_hr_daily_mean_97ad944b,7.0
m_usage_app_time_one_ui_f0679540_roll7_mean_3f595bbe,7.0
m_ac_m_charging_by_time_sum_afternoon_roll7_mean_d44a5f7b,7.0
m_activity_m_activity_mean_roll3_mean_34b33cd5,7.0
life_dayofyear_sin_9a234d58,7.0
w_pedo_step_std_02981646,7.0
m_ac_m_charging_by_time_mean_night_roll7_mean_3d55dbab,7.0
m_screen_m_screen_use_count_01ec27bc,7.0
m_ac_m_charging_changes_85cb6824,7.0
m_ac_m_charging_by_time_sum_morning_roll3_mean_ba0089da,7.0
w_light_w_light_by_time_mean_night_910d603b,7.0
w_light_w_light_by_time_mean_afternoon_1ca0ff62,7.0
w_hr_hr_min_mean_roll3_mean_3e976d33,7.0
w_light_w_light_max_dbf70195,7.0
w_hr_hr_sum_max_roll3_mean_ba1a84ad,7.0
m_wifi_bssid_nunique_roll3_mean_8f7eb827,7.0
m_usage_app_time_chrome_986c3748_roll3_mean_c9fb6355,7.0
m_activity_m_activity_count_roll7_mean_df4945bc,7.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_roll7_mean_08447280,7.0
m_light_m_light_sum_roll3_mean_722dfecb,7.0
m_usage_app_time_help_cnuh24_0b8fb29b_roll7_mean_cc76c192,7.0
w_hr_hr_min_mean_roll7_mean_d7149f27,7.0
w_hr_hr_median_std_roll7_mean_cd6c9ba6,7.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_3f868afc,7.0
w_light_w_light_mean_roll7_mean_af44326e,7.0
m_light_m_light_std_roll7_mean_3b8d5293,7.0
m_gps_m_gps_row_speed_std_max_roll3_mean_dd5d75a4,7.0
m_wifi_bssid_nunique_roll7_mean_14b5d197,7.0
m_gps_m_gps_row_speed_mean_max_roll7_mean_91917d6b,7.0
m_gps_m_gps_row_speed_std_std_ac72ac7f,7.0
m_ble_m_ble_row_rssi_max_mean_bc37d070,7.0
m_light_m_light_by_time_mean_night_roll3_mean_4def9a3b,7.0
m_gps_m_gps_row_longitude_sum_mean_roll7_mean_a7cf395a,7.0
m_wifi_m_wifi_row_rssi_std_max_6c39c9ae,7.0
m_gps_m_gps_row_altitude_min_std_roll7_mean_d0d1670f,7.0
w_hr_hr_n_mean_roll7_mean_60fee0e3,7.0
m_gps_m_gps_row_altitude_std_mean_roll7_mean_d55ccf70,6.0
m_activity_m_activity_by_time_sum_afternoon_roll3_mean_cc23788c,6.0
m_activity_m_activity_count_f_3_eccbc87e_roll3_mean_df7d318a,6.0
m_usage_app_time_samsung_wallet_15ecd9b2_roll7_mean_ada9d853,6.0
m_ble_m_ble_row_rssi_mean_mean_roll3_mean_471c25b6,6.0
m_ble_m_ble_row_n_sum_roll3_mean_cbd902c5,6.0
m_activity_m_activity_count_f_0_cfcd2084_roll3_mean_95d91a4d,6.0
m_activity_m_activity_by_time_sum_night_roll3_mean_2f97d461,6.0
w_pedo_distance_by_time_mean_evening_528bc3ae,6.0
m_ac_m_charging_changes_roll3_mean_7a2c9f52,6.0
m_gps_m_gps_row_n_mean_roll7_mean_ada18dc5,6.0
m_gps_m_gps_row_altitude_std_max_roll7_mean_3a3f02e7,6.0
w_light_w_light_std_roll3_mean_2c60bb95,6.0
m_ambience_ambience_prob_sum_sum_roll7_mean_36d3e3f3,6.0
m_activity_m_activity_count_f_7_8f14e45f_roll3_mean_6e8aad29,6.0
w_hr_hr_mean_std_roll3_mean_e0437be9,6.0
m_activity_m_activity_ratio_f_4_a87ff679_roll7_mean_5285dd31,6.0
w_pedo_step_by_time_sum_afternoon_97d42521,6.0
m_screen_m_screen_use_by_time_mean_morning_roll3_mean_66e60c5c,6.0
m_activity_m_activity_count_f_4_a87ff679_roll7_mean_1e8e2340,6.0
m_light_m_light_by_time_sum_evening_roll3_mean_74c3197e,6.0
m_ac_m_charging_sum_roll3_mean_5858c4c3,6.0
m_gps_m_gps_row_longitude_std_std_roll7_mean_d904a958,6.0
m_light_m_light_count_roll3_mean_b9a789fb,6.0
m_usage_app_time_x_73816cb8_73816cb8_roll3_mean_092490fd,6.0
m_wifi_m_wifi_row_n_sum_roll3_mean_d415b69e,6.0
m_ambience_ambience_entropy_std_roll3_mean_058a0b04,6.0
m_gps_m_gps_row_altitude_min_min_roll3_mean_eedd13d0,6.0
m_light_m_light_count_roll7_mean_3b4d3270,6.0
m_ac_m_charging_by_time_mean_night_roll3_mean_774ea83a,6.0
m_usage_usage_total_time_mean_roll3_mean_b5044a95,6.0
m_gps_m_gps_row_altitude_min_max_roll7_mean_239e7e63,6.0
life_dayofweek_91f0d0b3,6.0
m_wifi_m_wifi_row_rssi_mean_mean_roll7_mean_3b9211dc,6.0
m_gps_m_gps_row_longitude_mean_max_7b49580d,6.0
m_ambience_ambience_entropy_max_ddf7fb01,6.0
m_gps_m_gps_row_altitude_min_std_6b07df2a,6.0
m_activity_m_activity_std_lag1_309d5b62,6.0
m_ambience_ambience_entropy_min_094933b1,6.0
w_hr_hr_mean_std_roll7_mean_438087b8,6.0
m_gps_m_gps_row_altitude_mean_max_bab0a974,6.0
m_gps_m_gps_row_altitude_mean_std_e145da99,6.0
w_hr_hr_mean_mean_roll7_mean_97a9b433,6.0
m_activity_m_activity_sum_ebfe5b23,6.0
m_ambience_ambience_entropy_mean_e85f908c,6.0
w_hr_hr_sum_max_roll7_mean_0d513b0e,6.0
m_ble_m_ble_row_rssi_max_min_fbe95c84,6.0
m_ac_m_charging_by_time_sum_afternoon_lag1_1cd4bddb,6.0
m_wifi_m_wifi_row_rssi_mean_min_roll7_mean_7866747a,6.0
m_light_m_light_mean_b70e206c,6.0
m_wifi_m_wifi_row_rssi_max_max_roll7_mean_a6a8097c,6.0
m_gps_m_gps_row_speed_max_mean_c40fe5e3,6.0
m_ble_m_ble_row_n_max_2dd31d25,6.0
m_wifi_m_wifi_row_rssi_std_mean_13f120f4,6.0
m_ambience_ambience_entropy_std_lag1_66153749,6.0
m_gps_m_gps_row_altitude_std_mean_f6c62fa8,6.0
m_gps_m_gps_row_altitude_min_max_6c38152a,6.0
m_ambience_ambience_entropy_mean_lag1_4c96e8b8,6.0
m_wifi_m_wifi_row_rssi_std_mean_roll7_mean_b56cf349,6.0
m_usage_app_time_x_8590d84b_8590d84b_roll7_mean_13d85480,6.0
m_activity_m_activity_ratio_f_3_eccbc87e_lag1_53716d93,6.0
w_pedo_step_sum_04d0fc7e,6.0
w_hr_hr_max_mean_roll7_mean_5ccc5b59,6.0
w_pedo_step_max_777d9a91,6.0
w_light_w_light_by_time_mean_evening_roll7_mean_a0c8ab24,6.0
m_gps_m_gps_row_speed_max_max_012ebf79,6.0
m_activity_m_activity_count_f_3_eccbc87e_lag1_bb3e5781,6.0
w_light_w_light_sum_65b58d82,6.0
m_screen_m_screen_use_by_time_sum_evening_62ede15e,6.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_240ff917,6.0
m_screen_m_screen_use_changes_80dc624b,6.0
m_activity_m_activity_count_f_1_c4ca4238_roll7_mean_5d0b5af9,5.0
m_ac_m_charging_count_roll3_mean_58be3ade,5.0
m_ac_m_charging_sum_lag1_0555e711,5.0
m_wifi_m_wifi_row_rssi_mean_max_roll3_mean_b226e78b,5.0
m_ambience_ambience_top_prob_std_roll3_mean_35fc3275,5.0
